controller,scenario,psd_bandpower_error,psd_bandpower_control,noise_amplification,damping_ratio,natural_frequency
FLC,actuator_saturation_challenge,0.0,0.0,5.652804448547395e-07,,
FLC,baseline_steady_state,0.0,0.0,5.208596271276029e-07,,
FLC,cascading_grid_fault_and_recovery,0.0,0.0,5.208596271276029e-07,,
FLC,combined_challenge_final_exam,0.0,0.0,5.208596271276029e-07,,
FLC,deceptive_sensor_noise,0.0,0.0,4.834307161829856e-07,,
FLC,gradual_load_increase_10pct,0.0,0.0,4.834307161829856e-07,,
FLC,multisine_frequency_probe,0.0,0.0,4.981666193452659e-07,,
FLC,parameter_randomization_drills,0.0,0.0,5.030423256608531e-07,,
FLC,prbs_excitation_probe,0.0,0.0,3.5335738608371177e-07,-0.0952514633032088,74.25745776892298
FLC,steady_state_efficiency_probe,0.0,0.0,5.208596271276029e-07,,
FLC,sudden_load_increase_5pct,0.0,0.0,5.208596271276029e-07,,
PID,actuator_saturation_challenge,0.0,0.0,8.312171120249498e-07,,
PID,baseline_steady_state,0.0,0.0,8.939755624512695e-07,,
PID,cascading_grid_fault_and_recovery,0.0,0.0,8.939755624512695e-07,,
PID,combined_challenge_final_exam,0.0,0.0,8.939755624512695e-07,,
PID,deceptive_sensor_noise,0.0,0.0,1.6480826821424106e-06,,
PID,gradual_load_increase_10pct,0.0,0.0,1.6480826821424106e-06,,
PID,multisine_frequency_probe,0.0,0.0,1.0060253956680382e-06,,
PID,parameter_randomization_drills,0.0,0.0,1.054880574496494e-06,,
PID,prbs_excitation_probe,0.0,0.0,5.554148597908823e-07,-0.0653059831370173,74.0779624229989
PID,steady_state_efficiency_probe,0.0,0.0,8.939755624512695e-07,,
PID,sudden_load_increase_5pct,0.0,0.0,8.939755624512695e-07,,
RL,actuator_saturation_challenge,0.0,0.0,1.2538975233845496e-06,,
RL,baseline_steady_state,0.0,0.0,1.500176924310592e-06,,
RL,cascading_grid_fault_and_recovery,0.0,0.0,1.500176924310592e-06,,
RL,combined_challenge_final_exam,0.0,0.0,1.500176924310592e-06,,
RL,deceptive_sensor_noise,0.0,0.0,5.713625600351825e-07,,
RL,gradual_load_increase_10pct,0.0,0.0,5.713625600351825e-07,,
RL,multisine_frequency_probe,0.0,0.0,1.1331402074434068e-06,,
RL,parameter_randomization_drills,0.0,0.0,1.1091912880280138e-06,,
RL,prbs_excitation_probe,0.0,0.0,8.216494657378144e-07,-0.1027465042454801,70.18461703909028
RL,steady_state_efficiency_probe,0.0,0.0,1.500176924310592e-06,,
RL,sudden_load_increase_5pct,0.0,0.0,1.500176924310592e-06,,
