controller,scenario,psd_bandpower_error,psd_bandpower_control,noise_amplification,damping_ratio,natural_frequency,tags
PID,actuator_saturation_challenge,0.0,0.0,8.312171120249498e-07,,,saturation|stress_test
PID,baseline_steady_state,0.0,0.0,8.939755624512695e-07,,,baseline
PID,cascading_grid_fault_and_recovery,0.0,0.0,8.939755624512695e-07,,,adversarial|fault
PID,combined_challenge_final_exam,0.0,0.0,8.939755624512695e-07,,,adversarial|compound
PID,deceptive_sensor_noise,0.0,0.0,1.6480826821424106e-06,,,adversarial|noise
PID,gradual_load_increase_10pct,0.0,0.0,1.6480826821424106e-06,,,ramp|validation
PID,multisine_frequency_probe,0.0,0.0,1.0060253956680382e-06,,,multisine|frequency_probe
PID,parameter_randomization_drills,0.0,0.0,1.0452154707743825e-06,,,adversarial|randomization
PID,prbs_excitation_probe,0.0,0.0,5.554148597908823e-07,-0.0653059831370173,74.0779624229989,prbs|frequency_probe
PID,steady_state_efficiency_probe,0.0,0.0,8.939755624512695e-07,,,efficiency|validation
PID,sudden_load_increase_5pct,0.0,0.0,8.939755624512695e-07,,,step
FLC,actuator_saturation_challenge,0.0,0.0,5.652804448547395e-07,,,saturation|stress_test
FLC,baseline_steady_state,0.0,0.0,5.208596271276029e-07,,,baseline
FLC,cascading_grid_fault_and_recovery,0.0,0.0,5.208596271276029e-07,,,adversarial|fault
FLC,combined_challenge_final_exam,0.0,0.0,5.208596271276029e-07,,,adversarial|compound
FLC,deceptive_sensor_noise,0.0,0.0,4.834307161829856e-07,,,adversarial|noise
FLC,gradual_load_increase_10pct,0.0,0.0,4.834307161829856e-07,,,ramp|validation
FLC,multisine_frequency_probe,0.0,0.0,4.981666193452659e-07,,,multisine|frequency_probe
FLC,parameter_randomization_drills,0.0,0.0,4.806372407906874e-07,,,adversarial|randomization
FLC,prbs_excitation_probe,0.0,0.0,3.533573860837118e-07,-0.0952514633032088,74.25745776892298,prbs|frequency_probe
FLC,steady_state_efficiency_probe,0.0,0.0,5.208596271276029e-07,,,efficiency|validation
FLC,sudden_load_increase_5pct,0.0,0.0,5.208596271276029e-07,,,step
RL,actuator_saturation_challenge,0.0,0.0,1.2538975233845496e-06,,,saturation|stress_test
RL,baseline_steady_state,0.0,0.0,1.5001769243105924e-06,,,baseline
RL,cascading_grid_fault_and_recovery,0.0,0.0,1.5001769243105924e-06,,,adversarial|fault
RL,combined_challenge_final_exam,0.0,0.0,1.5001769243105924e-06,,,adversarial|compound
RL,deceptive_sensor_noise,0.0,0.0,5.713625600351825e-07,,,adversarial|noise
RL,gradual_load_increase_10pct,0.0,0.0,5.713625600351825e-07,,,ramp|validation
RL,multisine_frequency_probe,0.0,0.0,1.1331402074434068e-06,,,multisine|frequency_probe
RL,parameter_randomization_drills,0.0,0.0,1.441766085484688e-06,,,adversarial|randomization
RL,prbs_excitation_probe,0.0,0.0,8.216494657378143e-07,-0.1027465042454801,70.18461703909028,prbs|frequency_probe
RL,steady_state_efficiency_probe,0.0,0.0,1.5001769243105924e-06,,,efficiency|validation
RL,sudden_load_increase_5pct,0.0,0.0,1.5001769243105924e-06,,,step
